Index,Symbol,Name,Weight,HexColor,GroupBlock,Density,Food,Science,Words,Temperature,Pressure,Radiation,Gravity
36,Kr,Krypton,83.798,#5CB8D1,noble gas,0.004,0,0.01,0.07,0.01,0.06,0.01,0.05
37,Rb,Rubidium,85.468,#702EB0,alkali metal,1.532,0.04,0,0.06,0,0.06,0.04,0.03
38,Sr,Strontium,87.62,#00FF00,alkaline earth metal,2.63,0.12,0,0.02,0.01,0.04,0.06,0.01
39,Y,Yttrium,88.906,#94FFFF,transition metal,4.472,0.09,0.05,0,0.04,0.02,0.06,0
40,Zr,Zirconium,91.224,#94E0E0,transition metal,6.511,0,0.09,0,0.06,0,0.05,0.02
41,Nb,Niobium,92.906,#73C2C9,transition metal,8.57,0,0.08,0.03,0.07,0.01,0.02,0.04
42,Mo,Molybdenum,95.96,#54B5B5,transition metal,10.28,0,0.03,0.08,0.05,0.03,0,0.07
43,Tc,Technetium,98,#3B9E9E,transition metal,11.5,0.01,0,0.08,0.02,0.06,0.01,0.07
44,Ru,Ruthenium,101.07,#248F8F,transition metal,12.37,0.1,0,0.04,0,0.07,0.03,0.05
45,Rh,Rhodium,102.906,#0A7D8C,transition metal,12.45,0.11,0.04,0,0.01,0.06,0.06,0.02
46,Pd,Palladium,106.42,#698500,transition metal,12.023,0.02,0.09,0,0.03,0.03,0.08,0
47,Ag,Silver,107.868,#C0C0C0,transition metal,10.49,0,0.09,0.02,0.06,0.01,0.07,0.01
48,Cd,Cadmium,112.411,#FFD98F,transition metal,8.65,0,0.05,0.07,0.08,0,0.04,0.04
49,In,Indium,114.818,#A67573,metal,7.31,0,0,0.1,0.07,0.02,0.01,0.07
50,Sn,Tin,118.71,#668080,metal,7.31,0.08,0,0.06,0.04,0.06,0,0.08
51,Sb,Antimony,121.76,#9E63B5,metalloid,6.697,0.11,0.03,0,0.01,0.08,0.02,0.07
52,Te,Tellurium,127.6,#D47A00,metalloid,6.24,0.05,0.09,0,0,0.08,0.06,0.04
53,I,Iodine,126.904,#940094,halogen,4.94,0,0.11,0,0.02,0.05,0.09,0.01
54,Xe,Xenon,131.293,#429EB0,noble gas,0.006,0,0.07,0.07,0.06,0.02,0.09,0
55,Cs,Cesium,132.905,#57178F,alkali metal,1.879,0,0.01,0.1,0.09,0,0.06,0.03
56,Ba,Barium,137.327,#00C900,alkaline earth metal,3.51,0.05,0,0.08,0.09,0.01,0.02,0.07
57,La,Lanthanum,138.905,#70D4FF,lanthanoid,6.146,0.11,0.01,0.02,0.06,0.05,0,0.09
58,Ce,Cerium,140.116,#FFFFC7,lanthanoid,6.689,0.07,0.08,0,0.02,0.09,0.01,0.09
59,Pr,Praseodymium,140.908,#D9FFC7,lanthanoid,6.64,0,0.12,0,0,0.1,0.05,0.06
60,Nd,Neodymium,144.242,#C7FFC7,lanthanoid,7.01,0,0.1,0.05,0.01,0.08,0.09,0.02
61,Pm,Promethium,145,#A3FFC7,lanthanoid,7.264,0,0.03,0.11,0.05,0.03,0.1,0
62,Sm,Samarium,150.36,#8FFFC7,lanthanoid,7.353,0.02,0,0.1,0.09,0,0.08,0.02
63,Eu,Europium,151.964,#61FFC7,lanthanoid,5.244,0.09,0,0.04,0.11,0.01,0.04,0.06
64,Gd,Gadolinium,157.25,#45FFC7,lanthanoid,7.901,0.08,0.07,0,0.09,0.04,0.01,0.1
65,Tb,Terbium,158.925,#30FFC7,lanthanoid,8.219,0,0.12,0,0.04,0.09,0,0.11
66,Dy,Dysprosium,162.5,#1FFFC7,lanthanoid,8.551,0,0.12,0.04,0.01,0.11,0.04,0.08
67,Ho,Holmium,164.93,#00FF9C,lanthanoid,8.795,0,0.05,0.11,0,0.1,0.08,0.04
68,Er,Erbium,167.259,#1be400,lanthanoid,9.066,0,0,0.12,0.04,0.06,0.11,0
69,Tm,Thulium,168.934,#00D452,lanthanoid,9.321,0.08,0,0.07,0.09,0.01,0.11,0.01
70,Yb,Ytterbium,173.054,#00BF38,lanthanoid,6.57,0.09,0.05,0,0.12,0,0.06,0.05
71,Lu,Lutetium,174.967,#00AB24,lanthanoid,9.841,0.03,0.12,0,0.11,0.03,0.02,0.1
72,Hf,Hafnium,178.49,#4DC2FF,transition metal,13.31,0,0.14,0.02,0.07,0.08,0,0.12
73,Ta,Tantalum,180.948,#4DA6FF,transition metal,16.65,0,0.08,0.1,0.02,0.12,0.02,0.11
74,W,Tungsten,183.84,#2194D6,transition metal,19.25,0,0.01,0.13,0,0.12,0.07,0.06
75,Re,Rhenium,186.207,#267DAB,transition metal,21.02,0.06,0,0.1,0.02,0.08,0.12,0.01
76,Os,Osmium,190.23,#266696,transition metal,22.61,0.09,0.03,0.02,0.07,0.03,0.13,0
77,Ir,Iridium,192.217,#175487,transition metal,22.65,0.05,0.11,0,0.12,0,0.09,0.03
78,Pt,Platinum,195.084,#D0D0E0,transition metal,21.09,0,0.15,0,0.13,0.01,0.04,0.09
79,Au,Gold,196.967,#FFD123,transition metal,19.3,0,0.11,0.08,0.1,0.06,0,0.13
80,Hg,Mercury,200.59,#B8B8D0,transition metal,13.534,0,0.03,0.14,0.04,0.12,0.01,0.13
81,Tl,Thallium,204.383,#A6544D,metal,11.85,0.03,0,0.12,0,0.14,0.06,0.09
82,Pb,Lead,207.2,#575961,metal,11.34,0.09,0.01,0.04,0.01,0.11,0.11,0.03
83,Bi,Bismuth,208.98,#9E4FB5,metal,9.78,0.07,0.1,0,0.06,0.06,0.14,0
84,Po,Polonium,209,#AB5C00,metalloid,9.196,0,0.16,0,0.12,0.01,0.12,0.02
85,At,Astatine,210,#754F45,halogen,0.1,0,0.14,0.06,0.14,0,0.07,0.07
86,Rn,Radon,222,#428296,noble gas,0.01,0,0.06,0.14,0.12,0.04,0.01,0.13
87,Fr,Francium,223,#420066,alkali metal,2,0.01,0,0.15,0.07,0.1,0,0.15
88,Ra,Radium,226,#007D00,alkaline earth metal,5,0.08,0,0.07,0.01,0.15,0.04,0.12
89,Ac,Actinium,227,#70ABFA,actinoid,10.07,0.08,0.08,0,0,0.14,0.1,0.06
90,Th,Thorium,232.038,#00BAFF,actinoid,11.724,0.02,0.16,0,0.04,0.09,0.15,0.01
91,Pa,Protactinium,231.036,#00A1FF,actinoid,15.37,0,0.16,0.04,0.1,0.03,0.15,0
92,U,Uranium,238.029,#008FFF,actinoid,19.05,0,0.09,0.13,0.15,0,0.1,0.05
93,Np,Neptunium,237,#0080FF,actinoid,20.45,0,0,0.16,0.15,0.03,0.03,0.11
94,Pu,Plutonium,244,#006BFF,actinoid,19.816,0.06,0,0.1,0.1,0.09,0,0.16
95,Am,Americium,243,#545CF2,actinoid,15,0.08,0.06,0.01,0.04,0.15,0.02,0.15
96,Cm,Curium,247,#785CE3,actinoid,13.51,0.04,0.15,0,0,0.16,0.08,0.09
97,Bk,Berkelium,247,#8A4FE3,actinoid,14.78,0,0.18,0.02,0.02,0.12,0.14,0.03
98,Cf,Californium,251,#A136D4,actinoid,15.1,0,0.12,0.12,0.08,0.05,0.17,0
99,Es,Einsteinium,252,#B31FD4,actinoid,15,0,0.02,0.17,0.15,0.01,0.13,0.03
100,Fm,Fermium,257,#B31FBA,actinoid,15,0.04,0,0.14,0.17,0.01,0.06,0.1
101,Md,Mendelevium,258,#B30DA6,actinoid,15,0.08,0.03,0.04,0.13,0.07,0.01,0.16
102,No,Nobelium,259,#BD0D87,actinoid,15,0.05,0.13,0,0.06,0.14,0.01,0.17
103,Lr,Lawrencium,262,#C70066,transition metal,20,0,0.19,0,0.01,0.17,0.06,0.13
104,Rf,Rutherfordium,267,#CC0059,transition metal,20,0,0.16,0.09,0.01,0.15,0.13,0.05
105,Db,Dubnium,268,#D1004F,transition metal,20,0,0.05,0.18,0.06,0.09,0.18,0
106,Sg,Seaborgium,271,#D90045,transition metal,20,0.02,0,0.16,0.13,0.02,0.16,0.01
107,Bh,Bohrium,272,#E00038,transition metal,20,0.07,0.01,0.07,0.18,0,0.1,0.07
108,Hs,Hassium,270,#E6002E,transition metal,20,0.07,0.11,0,0.16,0.04,0.03,0.15
109,Mt,Meitnerium,276,#EB0026,transition metal,20,0.01,0.2,0,0.1,0.12,0,0.18
110,Ds,Darmstadtium,281,#EB0026,transition metal,20,0,0.19,0.07,0.03,0.18,0.04,0.16
111,Rg,Roentgenium,280,#EB0026,transition metal,20,0,0.09,0.17,0,0.18,0.11,0.09
112,Cn,Copernicium,285,#EB0026,transition metal,20,0,0,0.19,0.04,0.12,0.18,0.02
113,Nh,Nihonium,284,#EB0026,post-transition metal,25,0.06,0,0.11,0.11,0.05,0.19,0
114,Fl,Flerovium,289,#EB0026,post-transition metal,25,0.07,0.09,0,0.18,0,0.13,0.05
115,Mc,Moscovium,288,#EB0026,post-transition metal,25,0.03,0.19,0,0.19,0.02,0.05,0.13
116,Lv,Livermorium,293,#EB0026,post-transition metal,25,0,0.21,0.04,0.14,0.09,0,0.19
117,Ts,Tennessine,294,#EB0026,post-transition metal,25,0,0.13,0.15,0.06,0.17,0.02,0.19
118,Og,Oganesson,294,#EB0026,noble gas,0.1,0,0.02,0.2,0,0.2,0.09,0.13
